header,class,mechanism,group
@phgb|D38215|0-1539|ARO:3002893|tcr3|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TCR3,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TCR3
gi|558045656|gb|KF481967.1|betalactams|Class_A_betalactamases|SME,betalactams,Class A betalactamases,SME
Flq|QnrB24|HM192542|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Bla|SHV-46|AY210887|112-972|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
651|X01385.1|X01385|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
gi|233319|gb|S46063.1|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
Bla|HE993884.1|gene8|betalactams|Class_A_betalactamases|BLAZ,betalactams,Class A betalactamases,BLAZ
gi|558500530|gb|KF663615.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|KF057034.1|gene1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Sul|NC_010400.5986775|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
@phgb|AM087454|208-1069|ARO:3001015|TEM-148|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|CTX-M-66|EF576988|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Fos|fosA_5_NZ_AEXB01000013|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA
707|X04555.1|X04555|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME
Bla|AF244145.1|gene1|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
Bla|KPC-7|EU729727|1-882|882|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC
@phgb|X80277|0-1149|ARO:3003553|CepS|betalactams|Class_C_betalactamases|CEPS,betalactams,Class C betalactamases,CEPS
868|DQ022190.1|DQ022190|Glycopeptides|VanC-type_resistance_protein|VANC,Glycopeptides,VanC-type resistance protein,VANC
Bla|FJ785625.1|gene1|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
AGly|strA_5_AF321550|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
@phgb|U46859|24294-25527|ARO:3003048|rosA|Cationic_antimicrobial_peptides|Cationic_antimicrobial_peptide_efflux_pumps|ROSA,Cationic antimicrobial peptides,Cationic antimicrobial peptide efflux pumps,ROSA
AGly|AadK-Pm|CP002869|4442322-4441435|888|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6
Mdr|NC_002516.2.880450|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXH,Multi-drug resistance,Multi-drug efflux pumps,MEXH
gi|347364914|gb|HM046998.2|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Gly|VanRc4|EU151753|3848-4543|696|Glycopeptides|VanC-type_regulator|VANRC,Glycopeptides,VanC-type regulator,VANRC
Bla|NDM-2|JN112341|1-813|813|betalactams|Class_B_betalactamases|NDM,betalactams,Class B betalactamases,NDM
Gly|VanA-C_5_EU151754|Glycopeptides|VanC-type_resistance_protein|VANC,Glycopeptides,VanC-type resistance protein,VANC
gi|5002311|gb|AF148850.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Met|nimB_1_X71443|Metronidazole|nim_nitroimidazole_reductase|NIMB,Metronidazole,nim nitroimidazole reductase,NIMB
Sul|CP000034.1|gene3358|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Bla|AJ420864.1|gene1|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
AGly|RmtD|DQ914960|9632-8889|744|Aminoglycosides|16S_rRNA_methyltransferases|RMTD,Aminoglycosides,16S rRNA methyltransferases,RMTD
Bla|GOB-1|AF090141|243-1115|873|betalactams|Class_B_betalactamases|GOB,betalactams,Class B betalactamases,GOB
Sul|NC_002695.1.916103|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Bla|CTX-M-62|GU125669|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Flq|QnrS6_1_HQ631376|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,Fluoroquinolones,Quinolone resistance protein Qnr,QNRS
Bla|TEM-156|AM115459|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Phe|AY232670.1|gene3|Phenicol|Chloramphenicol_acetyltransferases|CATB,Phenicol,Chloramphenicol acetyltransferases,CATB
gi|694179059|gb|KM211509.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Flq|QnrB6_3_EF523819|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
@phgb|EU250284|5415-6510|ARO:3002938|vanSL|Glycopeptides|VanL-type_regulator|VANSL,Glycopeptides,VanL-type regulator,VANSL
@phgb|NC_007779|1115840-1117067|ARO:3001329|mdtG|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTG,Multi-drug resistance,Multi-drug efflux pumps,MDTG
Tet|ortB_1_AF079900|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|OTRB,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,OTRB
Bla|OXA-114_3_HM104634|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Tet|AJ295238|gene|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET32
AGly|Aph3-Ia|HQ840942|23569-24384|816|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
gi|323473327|gb|HQ858608.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Bla|NC_002745.1122813|betalactams|Penicillin_binding_protein|MECA,betalactams,Penicillin binding protein,MECA
gi|375313994|gb|JN790863.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Sul|CP000768.1|gene1044|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
1189|AJ243491.1|AJ243491|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
@phgb|HE999704|2734780-2736181|ARO:3000421|norB|Multi-drug_resistance|Multi-drug_efflux_pumps|NORB,Multi-drug resistance,Multi-drug efflux pumps,NORB
801|AY238971.1|AY238971|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA
749|AY618461.1|AY618461|Glycopeptides|VanA-type_resistance_protein|VANHA,Glycopeptides,VanA-type resistance protein,VANHA
@phgb|CP000034|2662758-2663289|ARO:3000516|emrR|Multi-drug_resistance|MDR_regulator|EMRR,Multi-drug resistance,MDR regulator,EMRR
@phgb|AHFH01000066|19120-20020|ARO:3000318|mphB|MLS|Macrolide_phosphotransferases|MPHB,MLS,Macrolide phosphotransferases,MPHB
AGly|NC_009838.1.5616796|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
1114|EU670845.2|EU670845|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@phgb|AL123456|3626662-3627349|ARO:3000816|mtrA|Multi-drug_resistance|MDR_regulator|MTRA,Multi-drug resistance,MDR regulator,MTRA
gi|558605696|gb|KF526117.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
Flq|CP003583.1|gene1174|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
ACou|NC_012491.1.7719846|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
894|unknown_id|unknown_name|Trimethoprim|Dihydrofolate_reductase|DHFR,Trimethoprim,Dihydrofolate reductase,DHFR
Sul|CP000675.2|gene3019|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
gi|218091987|emb|AM922307.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|TLA-1|GU441460|3220-4125|906|betalactams|Class_A_betalactamases|TLA,betalactams,Class A betalactamases,TLA
Bla|TEM-176|GU550123|145-1005|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
@phgb|AF173226|1037-2441|ARO:3003067|smeS|Multi-drug_resistance|Multi-drug_efflux_pumps|sme,Multi-drug resistance,Multi-drug efflux pumps,sme
Bla|OKP-B-14|DQ149136|47-907|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
Bla|TEM-76|AF190694|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|OXY1a|Y17715|147-1022|876|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
AGly|Aac6-Iai|EU886977|544-1110|567|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|TEM-30|AJ437107|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|81365634|gb|DQ105528.2|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
@pvgb|CP003583|1050805-1052287|ARO:3003092|Enterococcus|Lipopeptides|Daptomycin-resistant_cls|CLS,Lipopeptides,Daptomycin-resistant cls,CLS
@phgb|EU408358|27458-28439|ARO:3002483|LRA-5|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA
Flq|QnrB27|HM439641|1-645|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
@phgb|AE004091.2|4116187-4119265|ARO:3003693|mexK|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXK,Multi-drug resistance,Multi-drug efflux pumps,MEXK
1825|AB777500.1|AB777500|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|B-2|AF189300|1-750|750|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB
Flq|QnrB38|JN173060|2307-2951|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
@pvgb|AF469609|566-3353|ARO:3003297|Bartonella|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Bla|CMY-16|FM995219|3672-4817|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|OXY6-3|AJ871876|1-876|876|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
957|M97297.1|TRNVAN|Glycopeptides|VanA-type_resistance_protein|VANXA,Glycopeptides,VanA-type resistance protein,VANXA
Bla|blaZ_40_DQ269019|betalactams|Class_A_betalactamases|BLAZ,betalactams,Class A betalactamases,BLAZ
Bla|CMY-37|AB280919|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
AGly|aadA1_5_JQ480156|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Fos|Fcyn|FosB|AHLO01000073|63139-63558|417|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Fosfomycin,Fosfomycin thiol transferases,FOSB
Flq|NC_010400.5986734|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
@phgb|AB219523.1|21-1179|ARO:3003704|mexM|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXM,Multi-drug resistance,Multi-drug efflux pumps,MEXM
Bla|SHV-24|AB023477|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@pvgb|AF335467|36-1164|ARO:3003385|Enterobacter|Multi-drug_resistance|Mutant_porin_proteins|OMP36,Multi-drug resistance,Mutant porin proteins,OMP36
Bla|CTX-M-93|HQ637575|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|SHV-16|AF072684|118-993|876|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|HM440348|775-1861|ARO:3000549|adeS|Multi-drug_resistance|MDR_regulator|ADES,Multi-drug resistance,MDR regulator,ADES
Tet|tetE_3_L06940|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETE,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETE
gi|7649400|emb|AJ277535.1|betalactams|Class_C_betalactamases|FOX,betalactams,Class C betalactamases,FOX
Gly|VanS-Pt2|DQ018710|3721-4881|1161|Glycopeptides|VanA-type_regulator|VANSA,Glycopeptides,VanA-type regulator,VANSA
@phgb|HQ433580|0-512|ARO:3003723|VanI|Glycopeptides|VanI-type_resistance_protein|VANI,Glycopeptides,VanI-type resistance protein,VANI
gi|1524112|emb|X92508.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
@phgb|NC_003197|393892-397060|ARO:3000790|mdsB|Multi-drug_resistance|Multi-drug_efflux_pumps|MDSB,Multi-drug resistance,Multi-drug efflux pumps,MDSB
gi|160948436|emb|AM176548.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Fos|fosA_2_AGDM01000012|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA
Elf|NC_002516.2.880346|Elfamycins|EF-Tu_inhibition|TUFAB,Elfamycins,EF-Tu inhibition,TUFAB
gi|401713038|gb|JX258134.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
gi|48734421|gb|AY628175.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
AGly|AY123251|gene5|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
@phgb|HE650138|2186-2918|ARO:3003205|Erm43|MLS|23S_rRNA_methyltransferases|ERM,MLS,23S rRNA methyltransferases,ERM
Flq|CP003248.2|gene6|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
MLS|ermE_1_X51891|MLS|23S_rRNA_methyltransferases|ERME,MLS,23S rRNA methyltransferases,ERME
Phe|fexA_1_AJ549214|Phenicol|Phenicol_efflux_pumps|FEXA,Phenicol,Phenicol efflux pumps,FEXA
@phgb|AF540889|0-327|ARO:3002871|tet37|Tetracyclines|Tetracycline_inactivation_enzymes|TET37,Tetracyclines,Tetracycline inactivation enzymes,TET37
Mdr|NC_002952.2859858|Multi-drug_resistance|MDR_regulator|ARLR,Multi-drug resistance,MDR regulator,ARLR
Bla|OKP-B-9|AM051159|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
AGly|AJ487033.2|gene1|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME
Rif|HM015626.1|gene1|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,Rifampin,Rifampin ADP-ribosyltransferase Arr,ARR
Bla|CMY-41|AB429270|15-1160|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|591542809|gb|KJ207201.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
Flq|QnrB67_1_KC580656|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Sul|sul2_17_U57647|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
Mdr|NC_011586.7046390|Multi-drug_resistance|Multi-drug_efflux_pumps|ADEB,Multi-drug resistance,Multi-drug efflux pumps,ADEB
Tet|ortB_2_AF061335|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|OTRB,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,OTRB
Bla|TEM-155|DQ679961|115-975|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|CTX-M-23|AF488377|63-938|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
551|EU503121.1|EU503121|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Flq|M58408|gene|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
gi|757399523|gb|KP050494.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|AF117746|0-780|ARO:3001080|SHV-22|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|NC_010410|3621491-3622283|ARO:3002601|aadA|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Bla|MAL-1|AJ277209|12-914|903|betalactams|Class_A_betalactamases|MAL,betalactams,Class A betalactamases,MAL
Flq|QnrB2|DQ351242|1-645|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Tmt|DfrC|Z48233|337-822|486|Trimethoprim|Dihydrofolate_reductase|DFRC,Trimethoprim,Dihydrofolate reductase,DFRC
gi|597709737|emb|HG934763.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|SHV2A-kp|X62115|1281-2141|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|759001857|gb|KP071470.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
gi|387861052|gb|JQ711185.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
1090|DQ303459.3|DQ303459|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|46403068|gb|AY584237.1|betalactams|Class_A_betalactamases|SME,betalactams,Class A betalactamases,SME
Tet|tetW_6_FN396364|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
Bla|CMY-110_1_AB872957|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
199|AY566250.1|AY566250|Fluoroquinolones|Quinolone_active_efflux|NORA,Fluoroquinolones,Quinolone active efflux,NORA
Tet|Tet-31|AJ250203|1651-2883|1233|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET31,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TET31
@phgb|U35369|2358-3165|ARO:3002956|vanYB|Glycopeptides|VanB-type_accessory_protein|VANYB,Glycopeptides,VanB-type accessory protein,VANYB
Bla|OKP-A-9|AM051148|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
gi|537430806|gb|KF057033.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@phgb|AF155139|3396-4278|ARO:3002958|vanYF|Glycopeptides|VanF-type_accessory_protein|VANYF,Glycopeptides,VanF-type accessory protein,VANYF
@pvgb|NC_014121|1270697-1271351|ARO:3003374|Enterobacter|Multi-drug_resistance|MDR_regulator|ACRR,Multi-drug resistance,MDR regulator,ACRR
gi|256862201|gb|GQ390808.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|697286401|dbj|AB901141.1|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES
gi|698174211|gb|KM087860.1|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR
261|AY264780.2|AY264780|Tetracyclines|Tetracycline_transcriptional_repressor|TETR,Tetracyclines,Tetracycline transcriptional repressor,TETR
AGly|AadA16|EU675686|3197-4042|846|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Bla|CARB-5|AF135373|12-908|897|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
MLS|vatE_7_AY043211|MLS|Streptogramin_A_O-acetyltransferase|VATE,MLS,Streptogramin A O-acetyltransferase,VATE
@phgb|NC_007907.1|2195400-2196522|ARO:3003724|vanWI|Glycopeptides|VanI-type_accessory_protein|VANWI,Glycopeptides,VanI-type accessory protein,VANWI
Bla|AF167990.3|gene1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
@pvgb|AE014075|3901532-3902762|ARO:3003438|Escherichia|Elfamycins|EF-Tu_inhibition|TUFAB,Elfamycins,EF-Tu inhibition,TUFAB
@phgb|AB894482|35038-35500|ARO:3003199|AAC6-PRIME-Iak|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
